,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
531,0,0,0,0,1,0,0,0,0,1,0,3,6,1,0,0,6,4,0,1,0,1,1,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,1,0,2,2,0,7,0,0,1,0,0,2,1,0,0,0,0,0,0
533,0,1,0,0,1,1,0,0,0,0,0,0,2,0,3,0,1,4,0,0,1,0,0,0,0,1,0,0
534,0,0,0,0,0,2,0,0,0,3,0,3,8,1,3,1,9,8,0,1,1,0,1,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,1,1,1,7,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,1,0,0,1,1,1,3,0,6,1,5,1,0,1,0,1,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0,1,7,7,0,4,0,5,3,0,0,1,0,0,0,1,0,0,0
538,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
542,0,0,0,0,0,0,1,0,0,0,0,1,5,0,3,0,5,1,0,0,0,1,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0,0,5,10,1,8,0,4,3,0,1,1,1,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,0,1,2,3,8,2,7,0,9,3,0,0,1,0,0,0,0,0,0,0
547,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0
551,0,0,0,2,0,0,0,0,0,0,0,3,11,0,19,0,5,1,0,0,1,1,0,0,0,0,0,0
552,0,0,0,1,0,0,0,0,0,1,1,2,5,0,2,0,6,4,0,1,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
556,0,0,0,1,0,1,0,0,0,1,1,4,8,0,3,0,5,5,0,1,1,0,0,0,1,0,0,0
557,0,0,0,0,0,0,0,0,0,1,1,6,16,0,4,0,8,3,0,1,2,2,0,0,0,0,0,0
558,0,0,0,0,0,0,0,0,0,1,0,3,8,0,6,0,7,6,0,2,0,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0,0,0,0,1,5,9,2,8,0,4,6,0,1,2,0,0,0,0,0,0,0
560,0,0,0,0,0,0,1,0,0,0,0,4,4,0,3,0,4,4,0,1,1,1,0,0,0,0,0,0
561,0,0,0,0,0,1,0,0,0,1,0,5,7,0,1,0,7,3,0,0,1,0,2,0,0,0,0,0
562,0,0,0,1,0,0,2,0,0,3,0,4,4,0,3,0,4,4,0,0,2,2,0,0,0,0,0,0
563,0,0,0,0,0,0,0,0,0,1,0,4,6,0,3,0,3,3,0,0,2,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0,0,0,2,0,6,9,0,4,0,4,3,0,0,1,2,0,0,0,0,0,0
565,0,0,0,1,0,0,0,0,0,1,0,3,5,0,5,0,7,4,0,0,1,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0,0,1,0,7,5,0,5,0,3,5,0,0,1,2,0,0,0,0,0,0
567,0,0,0,0,0,1,0,0,0,2,0,1,3,0,2,0,7,5,0,0,1,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0,0,0,1,3,6,1,3,0,7,4,0,1,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0,0,1,0,5,5,0,3,0,3,6,0,0,2,1,0,0,0,0,0,0
570,0,0,0,1,0,0,0,0,0,2,0,4,7,0,4,0,5,4,0,0,2,1,0,0,0,0,0,0
571,0,0,0,0,0,0,0,0,0,1,0,5,3,0,3,0,2,2,0,0,1,0,1,0,0,0,0,0
572,0,0,0,0,0,0,0,0,0,4,0,7,15,0,4,0,12,5,0,0,3,1,0,0,0,0,0,0
573,0,0,0,0,0,0,1,0,0,1,1,3,9,0,5,0,8,3,0,2,2,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0,1,3,3,0,2,0,2,3,0,2,0,1,0,0,0,0,0,0
