,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
357,0,0,0,0,0,0,0,0,0,0,0,4,6,0,1,0,5,3,0,0,1,0,1,0,0,0,0,0
358,0,0,0,1,0,0,0,0,0,3,0,3,5,2,2,1,5,5,0,0,2,0,1,0,0,0,0,0
361,0,0,0,0,0,1,0,0,0,3,1,7,11,0,5,0,12,6,0,0,1,1,2,0,0,0,0,0
362,0,0,0,0,0,0,1,0,0,4,0,7,13,3,5,1,10,8,0,0,4,0,1,0,0,0,0,0
363,0,0,0,0,0,1,1,0,0,3,0,3,11,0,3,0,8,5,0,1,2,0,1,0,0,0,0,0
364,0,0,0,0,0,1,0,0,0,5,0,5,9,0,2,0,10,8,0,0,2,0,1,0,0,0,0,0
365,0,0,0,0,0,1,0,0,0,2,0,5,8,0,3,0,5,3,0,0,2,0,1,0,0,0,0,0
366,0,0,0,1,0,0,0,0,0,1,0,7,9,1,5,0,7,8,0,0,2,0,1,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,2,0,6,12,0,2,0,11,6,0,1,1,0,0,0,0,0,0,0
368,0,0,0,0,0,0,1,0,0,4,0,5,6,1,2,1,6,6,0,1,1,0,1,0,0,0,0,0
369,0,0,0,0,0,2,1,0,0,1,0,2,9,0,1,0,9,3,0,0,2,0,0,0,0,0,0,0
370,0,0,0,1,0,0,2,0,0,2,0,5,4,2,0,2,8,6,0,1,0,0,2,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,5,8,0,1,0,4,3,0,1,1,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,2,0,8,9,0,3,0,6,5,0,0,1,0,1,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,2,0,5,10,0,3,0,8,4,0,0,0,0,2,0,0,0,0,0
388,0,0,0,0,0,2,0,0,0,0,1,4,8,1,2,0,5,5,0,1,1,0,1,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,2,0,5,6,0,0,0,3,5,0,0,0,0,2,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,3,2,2,8,1,5,1,9,5,0,2,0,0,1,0,0,0,0,0
395,0,0,0,0,0,2,0,0,0,1,0,3,6,1,4,0,2,4,0,0,1,1,0,0,1,0,0,0
396,0,0,0,0,0,1,1,0,0,2,1,5,9,3,4,2,8,7,0,1,1,0,0,0,1,0,0,0
397,0,0,0,0,0,1,0,0,0,1,1,6,12,1,5,0,11,7,0,0,1,1,1,0,0,0,0,0
398,0,0,0,1,0,0,0,0,0,3,0,7,7,1,2,2,6,9,0,2,1,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,5,10,1,1,0,7,7,0,0,1,0,0,0,0,0,0,0
400,0,0,0,0,0,0,1,0,0,1,2,3,6,2,4,0,7,5,0,0,2,0,0,0,1,0,0,0
401,0,0,0,0,0,0,0,0,0,1,0,8,25,5,6,2,12,8,0,0,5,0,0,0,0,0,0,0
423,0,0,0,0,0,1,1,0,0,3,0,9,6,0,5,0,5,9,0,0,2,2,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,9,0,3,10,0,4,0,11,5,0,0,5,0,1,0,0,0,0,0
425,0,0,0,0,0,1,1,0,0,4,0,8,9,0,5,1,14,10,0,0,2,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,1,3,0,5,6,0,4,0,6,7,0,0,2,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,2,2,4,8,0,6,0,9,6,0,2,0,1,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,3,8,0,1,0,5,3,0,0,0,1,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,1,2,5,0,3,0,8,4,0,0,0,1,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0,0,2,5,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0,0,0,1,1,11,2,8,1,10,3,0,1,0,1,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0,2,1,5,1,6,0,7,1,0,0,1,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0,0,1,1,3,9,1,2,0,8,4,0,1,0,1,0,0,1,0,0,0
490,0,0,0,0,0,0,0,0,0,1,0,4,9,0,3,0,7,3,0,0,2,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0
492,0,0,0,1,0,0,0,0,0,0,0,3,2,0,4,0,2,4,0,0,0,1,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,0,2,0,1,5,0,1,0,4,4,0,3,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,2,0,5,7,0,1,0,1,2,0,1,1,1,0,0,0,0,0,0
495,0,0,0,0,0,1,0,0,0,2,0,3,1,0,4,0,4,6,0,0,0,0,1,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,2,0,0,1,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0,2,0,2,3,0,4,0,2,3,0,1,1,0,0,0,0,0,0,0
498,0,0,0,1,0,0,0,0,0,1,0,5,11,0,1,0,3,2,0,1,3,2,0,0,0,0,0,0
499,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,3,5,0,1,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,3,4,0,1,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0
503,0,0,0,0,0,1,0,0,0,0,0,3,8,0,1,0,7,2,0,0,1,0,1,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,1,0,6,17,0,4,0,8,5,0,2,0,1,0,1,0,0,0,0
513,0,0,0,0,0,0,0,0,0,2,1,5,9,0,3,0,11,6,0,1,1,0,0,0,0,0,0,0
514,0,0,0,0,0,0,1,0,0,0,1,3,9,0,1,0,7,3,0,2,0,1,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0,0,1,1,3,9,0,2,0,6,2,0,1,1,1,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,0,1,0,2,5,0,2,0,7,1,0,0,1,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0,0,1,3,4,23,1,4,0,23,2,1,0,1,2,0,0,0,0,0,0
518,0,0,0,0,0,0,1,0,0,2,0,3,6,0,2,0,7,2,0,0,0,1,1,0,0,0,0,0
519,0,0,0,0,0,0,0,0,0,2,1,3,26,0,9,0,30,4,0,1,2,0,0,0,0,0,0,0
520,0,0,0,0,0,0,1,0,0,2,2,3,14,3,3,2,11,4,0,2,0,1,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,3,3,14,1,7,0,14,1,0,0,0,2,0,0,0,0,0,0
522,0,0,0,0,0,0,1,0,0,0,1,5,7,0,2,0,7,2,0,0,0,1,1,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,2,1,3,18,0,7,0,24,5,0,0,1,0,0,0,0,0,0,0
524,0,0,0,0,0,0,1,0,0,2,1,9,13,1,5,0,9,7,0,0,2,1,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0,2,3,13,1,5,0,11,1,0,1,1,1,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,0,0,1,2,7,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0,2,2,4,13,0,7,0,15,4,0,0,1,2,0,0,0,0,0,0
528,0,0,0,0,0,0,1,0,0,2,0,6,18,1,4,0,13,6,0,0,0,2,0,0,0,0,0,0
529,0,0,0,0,0,0,1,0,0,1,1,5,12,0,1,1,16,5,0,1,1,0,0,0,0,0,0,0
530,0,0,0,0,0,0,1,0,0,1,0,5,13,1,2,0,4,2,0,1,0,3,0,0,0,0,0,0
531,0,0,0,0,1,0,0,0,0,1,0,3,6,1,0,0,6,4,0,1,0,1,1,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,1,0,2,2,0,7,0,0,1,0,0,2,1,0,0,0,0,0,0
533,0,1,0,0,1,1,0,0,0,0,0,0,2,0,3,0,1,4,0,0,1,0,0,0,0,1,0,0
534,0,0,0,0,0,2,0,0,0,3,0,3,8,1,3,1,9,8,0,1,1,0,1,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,1,1,1,7,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,1,0,0,1,1,1,3,0,6,1,5,1,0,1,0,1,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0,1,7,7,0,4,0,5,3,0,0,1,0,0,0,1,0,0,0
538,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
542,0,0,0,0,0,0,1,0,0,0,0,1,5,0,3,0,5,1,0,0,0,1,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0,0,5,10,1,8,0,4,3,0,1,1,1,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,0,1,2,3,8,2,7,0,9,3,0,0,1,0,0,0,0,0,0,0
547,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0
551,0,0,0,2,0,0,0,0,0,0,0,3,11,0,19,0,5,1,0,0,1,1,0,0,0,0,0,0
552,0,0,0,1,0,0,0,0,0,1,1,2,5,0,2,0,6,4,0,1,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
556,0,0,0,1,0,1,0,0,0,1,1,4,8,0,3,0,5,5,0,1,1,0,0,0,1,0,0,0
573,0,0,0,0,0,0,1,0,0,1,1,3,9,0,5,0,8,3,0,2,2,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0,0,1,3,3,0,2,0,2,3,0,2,0,1,0,0,0,0,0,0
575,0,0,0,0,0,0,1,0,0,1,1,2,4,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,5,2,0,1,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,1,0,0,0,1,3,3,0,1,0,6,3,0,0,1,0,0,0,0,0,0,0
578,0,0,0,0,0,0,1,0,0,2,0,4,2,0,4,0,4,4,0,0,2,0,0,0,1,0,0,0
579,0,0,0,0,0,0,0,0,0,2,2,5,8,0,5,0,7,5,0,1,0,2,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,2,1,3,4,0,3,0,5,4,0,1,1,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,0,0,1,1,1,5,0,5,0,5,2,0,1,0,0,0,0,0,0,0,0
582,0,0,0,1,0,0,0,0,0,1,0,2,3,0,3,0,4,5,0,1,0,1,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0,1,3,7,0,2,0,5,2,0,1,3,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0,0,2,0,2,6,0,5,0,6,3,0,1,1,0,0,0,0,0,0,0
601,0,0,0,0,0,0,0,0,0,1,1,1,8,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,1,0,0,1,1,1,5,0,7,1,5,0,0,1,1,1,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0,0,1,6,8,0,4,0,5,3,0,0,1,0,0,1,0,0,0,0
604,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0
606,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
