,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
558,0.0,1.5,0.0,0.0,3.25,4.75,0,0.75,5.5,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
559,0.0,2.0,0.0,0.0,3.5,2.0,0,1.5,7.25,3.25,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
560,0.0,0.5,0.0,0.0,3.0,3.5,0,2.5,1.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
561,0.0,2.0,0.0,0.0,4.25,4.0,0,0.0,3.25,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
562,0.0,3.5,0.0,0.0,2.5,4.75,0,2.25,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
563,0.0,1.0,0.0,0.0,4.25,2.25,0,1.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
564,0.0,2.5,0.0,0.0,3.5,5.5,0,3.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
565,0.0,1.5,0.0,0.0,4.25,2.75,0,0.0,3.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
566,0.0,2.0,0.0,0.0,4.0,3.0,0,3.5,0.0,3.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
567,0.0,1.0,0.0,0.0,5.0,2.5,0,0.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
568,0.0,0.0,0.0,0.0,0.5,3.5,0,0.0,3.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
569,0.0,1.0,0.0,0.0,2.5,2.5,0,2.0,4.0,2.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
570,0.0,3.0,0.0,0.0,3.5,5.0,0,3.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
571,0.0,0.75,0.0,0.0,4.75,3.0,0,0.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
572,0.5,2.5,0.0,0.5,11.5,7.0,0,9.5,2.0,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
693,0.0,1.0,0.0,0.0,1.75,3.5,0,0.5,3.125,5.375,4.25,0.75,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
694,5.0,2.375,0.0,0.5,5.625,7.5,0,6.25,2.25,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
695,0.0,0.5,0.0,0.0,2.25,2.75,0,0.5,4.5,5.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
696,0.0,1.25,0.0,0.0,3.25,3.5,0,2.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
697,0.0,4.25,0.0,0.0,3.5,2.5,0,1.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
698,0.0,2.0,0.0,0.0,3.0,1.5,0,2.25,0.0,3.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
699,0.0,2.75,0.0,0.0,3.5,3.75,0,0.0,4.0,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
700,0.0,1.25,0.0,0.0,2.75,4.25,0,3.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
701,0.0,1.75,0.0,0.0,3.0,4.0,0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
702,8.5,6.5,0.5,0.5,8.25,14.25,0,7.75,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
927,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.25,7.75,7.25,2.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
928,0.0,0.5,0.0,0.0,2.75,4.0,0,0.5,5.25,5.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
929,0.0,1.25,0.0,0.0,1.75,6.25,0,2.75,1.75,4.25,2.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
930,0.0,1.25,0.0,0.0,5.25,1.5,0,1.5,3.0,2.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
931,0.0,1.0,0.0,0.0,4.0,5.0,0,2.25,4.75,8.0,5.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
932,0.0,0.0,0.0,0.0,0.0,4.25,0,0.0,7.25,6.5,3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
