,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
37,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.875,0.0,0.0,3.375,3.625,4.25,1.125,1.25,0.25,0,0.0,0.0,0
38,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.125,0.0,0.0,4.125,2.75,1.0,2.5,0.5,0.0,0,0.0,0.0,0
39,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,4.25,3.25,1.5,0.875,2.625,0.0,0,0.0,0.0,0
40,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.25,0.0,0.0,3.5,3.125,1.0,1.625,1.0,0.25,0,0.0,0.0,0
41,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,6.5,6.5,3.5,0.0,1.75,0.25,0,0.0,0.0,0
42,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,7.625,6.5625,2.5,3.5625,3.5,1.5,0,0.0,0.0,0
43,0.0,0.0,0.0,0,0.0,0.0,0,0.25,0.0,1.5,2.6875,0.625,0.0,6.4375,6.125,2.6875,1.125,4.0625,1.0,0,0.0,0.0,0
44,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.875,0.0,0.0,7.125,5.625,2.375,4.75,2.0,0.0,0,0.0,0.0,0
45,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.125,0.5,0.0,2.25,3.375,2.125,0.0,2.625,1.5,0,0.0,0.125,0
46,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5.25,0.75,0.0,7.0,8.875,5.375,3.375,1.625,0.25,0,0.0,0.0,0
47,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.25,3.125,0.75,0.0,7.75,5.125,1.5,1.0,3.625,1.625,0,0.0,0.0,0
48,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5,0.0,0.25,8.625,9.875,3.75,6.125,4.25,0.625,0,0.0,0.0,0
49,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,3.0,0.625,0.0,7.75,10.375,2.75,3.125,3.75,0.625,0,0.0,0.0,0
50,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.25,0.0,0.0,5.0,4.25,1.625,4.5,1.625,1.0,0,0.0,0.0,0
