,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
925,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0
926,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0
971,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0
972,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
973,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
974,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0
985,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
986,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0
988,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,1,2,0,0,0,1,0,0,0,0,0,0
991,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0,4,2,0,0,0,1,0,0,0,0,0,0
993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
