,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
695,0,0,0,0,0,0,1,0,0,2,0,5,13,0,5,0,8,6,0,2,0,1,0,0,0,0,0,0
696,0,0,0,0,0,0,0,0,0,0,0,4,11,0,2,0,4,1,0,2,1,1,0,0,0,0,0,0
697,0,0,0,0,0,0,0,0,0,2,0,4,3,0,2,0,5,7,0,0,1,1,1,0,0,0,0,0
698,0,0,0,1,0,0,0,0,0,1,0,7,5,0,3,0,2,6,0,1,1,1,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,3,0,8,6,0,2,0,5,6,0,1,3,0,1,0,0,0,0,0
700,0,0,0,0,0,0,0,0,0,3,1,5,2,1,3,0,3,4,0,0,2,1,0,0,0,0,0,0
701,0,0,0,0,0,1,0,0,0,2,0,4,3,0,2,0,4,4,0,0,4,0,0,0,0,0,0,0
702,0,0,0,0,0,0,0,0,0,3,2,8,28,1,7,0,18,7,0,4,5,0,0,0,0,0,0,0
927,0,0,0,0,0,0,0,0,0,0,1,6,9,1,2,1,4,3,0,1,1,1,0,0,0,0,0,0
928,0,0,0,1,0,0,0,0,0,0,1,5,7,0,4,0,6,5,0,1,0,3,0,0,0,0,0,0
929,0,0,0,1,0,0,0,0,0,0,0,2,9,1,3,0,2,2,0,1,1,1,0,0,0,0,0,0
930,0,0,0,0,0,1,0,0,0,1,0,1,8,0,4,0,2,2,0,1,0,0,1,0,0,0,0,0
931,0,0,0,0,0,0,0,0,0,2,1,2,11,1,3,0,6,3,0,2,0,2,0,0,0,0,0,0
932,0,0,0,0,0,0,0,0,0,1,0,6,6,0,2,0,3,5,0,1,0,0,0,0,1,0,0,0
